seed,map_hash,outcome,time_s,cumulative_turn_deg,steering_tv_per_s,yaw_reversals,peak_yaw_deg_s,peak_yaw_accel_deg_s2,min_circle_clearance_m,compute_s
2126,56103146318c0ab9,success,90.8,565.1894994130389,0.4464785567400216,13,19.67314546702029,23.671092131288013,-0.15702259115658193,6.700673776998883
2127,cfa5dfa9a7c57ba8,success,82.60000000000001,459.4206203126745,0.37769430783313196,13,18.46878636894965,29.719429665191775,-0.19864605692580128,5.5824552639969625
2128,5cb6148f3f79ed85,success,44.0,191.53676613359752,0.25595171208269024,4,22.86309030510236,18.288864441227116,-0.20133808250580698,3.1865627379993384
2129,3a733bb54e4b8a0e,success,62.440000000000005,441.2669152672213,0.3257900752908367,5,19.61473598343439,29.9628966715049,-0.2540874036890557,4.55294370699994
2130,fb69445450c058c2,success,43.96,252.67925124300396,0.2896705386146435,6,15.350123782846541,21.257401627715318,-0.25686682083092904,3.0369920779994573
2131,0dd757fd0ead6755,success,81.24,585.352203958907,0.5018647147567173,11,23.304147285476446,24.231535572256202,-0.2594295816140614,5.682881349999661
2132,7b27cf2ff8c50d79,success,91.8,532.3834532225653,0.4552575583618989,15,21.576752803875596,26.555944000159982,-0.2564918528750073,6.075446107999596
2133,7fdffea6e358ff7a,success,39.480000000000004,127.38481818700502,0.23244440770342104,2,12.992614299544442,14.381842410231856,-0.12973133869308925,2.6343995810020715
2134,b65c7335ee2486b3,success,52.04,410.168404015482,0.3091466669148021,5,23.99764929885396,23.13576132466087,-0.24946131608962874,3.4483325900000636
2135,eaa934623b3cc584,success,54.160000000000004,191.68190563034327,0.4299977801647697,7,13.323020690157913,18.203670150396977,-0.20789424233554185,3.6104701709991787
2136,437547f48b22b075,success,51.32,281.48550030564024,0.3287158967385889,6,22.485022285659802,24.056056661161417,-0.26472503544621373,3.5258644669993373
2137,50d5ba890df223d2,success,52.84,308.0854619185553,0.3584384274796618,8,16.193651895981034,23.688482902195982,-0.22086391804726246,3.781856109999353
2138,f5203474b39e4b0e,success,49.28,241.22345032662892,0.3002721419809357,6,15.295822890764402,17.092902639032737,-0.18676597156503874,3.324414319002244
2139,5f60886022e4c827,success,52.72,301.33466728398236,0.26319832325581455,6,22.1545605363826,22.483103068700665,-0.25778826373100444,3.485532716000307
2140,f03fe20c29e9804c,success,79.68,464.1752684147495,0.46727065989031163,18,19.920832988146586,29.430301044311918,-0.23549219207111605,5.221436067997274
2141,7c8d39a75ac0d74b,success,118.08,777.237240656663,0.4007821201801321,16,28.0112257806945,31.987289939213728,-0.2705588686334151,7.329134900002828
2142,35b1ac2addf650a3,success,61.96,420.79400344275604,0.505365539450984,11,20.76713692790557,29.481062460423004,-0.22804296322257941,4.00397234400225
